Title,Actors,Director,Genre,Year,Runtime
Spider-Man,Tobey Maguire; Willem Dafoe; Kirsten Dunst,Sam Raimi,Fantasy; Action,2002,121
Mad Max: Fury Road,Tom Hardy; Charlize Theron; Nicholas Hoult,George Miller,Action; Adventure; Science Fiction; Thriller,2015,120
The Lord of the Rings: The Return of the King,Elijah Wood; Ian McKellen; Viggo Mortensen,Peter Jackson,Adventure; Fantasy; Action,2003,201
Thor,Chris Hemsworth; Natalie Portman; Tom Hiddleston,Kenneth Branagh,Adventure; Fantasy; Action,2011,115
Fifty Shades Darker,Dakota Johnson; Jamie Dornan; Eric Johnson,James Foley,Drama; Romance,2017,118
Inception,Leonardo DiCaprio; Joseph Gordon-Levitt; Ellen Page,Christopher Nolan,Action; Thriller; Science Fiction; Mystery; Adventure,2010,148
Split,James McAvoy; Anya Taylor-Joy; Betty Buckley,M. Night Shyamalan,Horror; Thriller,2016,117
X-Men: Apocalypse,James McAvoy; Michael Fassbender; Jennifer Lawrence,Bryan Singer,Science Fiction,2016,144
Batman Begins,Christian Bale; Michael Caine; Liam Neeson,Christopher Nolan,Action; Crime; Drama,2005,140
Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe; Rupert Grint; Emma Watson,Alfonso Cuarón,Adventure; Fantasy; Family,2004,141
The Saint,Adam Rayner; Eliza Dushku; Ian Ogilvy,Ernie Barbarash,Action; Adventure; Crime,2017,92
Kingsman: The Secret Service,Colin Firth; Samuel L. Jackson; Mark Strong,Matthew Vaughn,Crime; Comedy; Action; Adventure,2015,130
Diary of a Wimpy Kid: The Long Haul,Jason Ian Drucker; Owen Asztalos; Charlie Wright,David Bowers,Comedy; Family,2017,91
Pirates of the Caribbean: On Stranger Tides,Johnny Depp; Penélope Cruz; Ian McShane,Rob Marshall,Adventure; Action; Fantasy,2011,136
Insurgent,Shailene Woodley; Theo James; Kate Winslet,Robert Schwentke,Adventure; Science Fiction; Thriller,2015,119
The Purge: Anarchy,Frank Grillo; Carmen Ejogo; Zach Gilford,James DeMonaco,Horror; Thriller,2014,104
Spider-Man 3,Tobey Maguire; Kirsten Dunst; James Franco,Sam Raimi,Fantasy; Action; Adventure,2007,139
